store_number,store_slug,database_name,install_root,started_at_utc,finished_at_utc,create_database_ms,link_source_ms,wp_config_ms,wp_core_install_ms,filesystem_bytes,database_table_count,database_data_bytes,database_index_bytes,database_total_bytes,status,error_stage
1,isolated-0001,isolated_1,/home/accnet/ooio-spike/results/isolated-sites/isolated-0001,2026-07-22T14:23:06Z,2026-07-22T14:23:09Z,33,35,245,2899,19735,12,196608,475136,671744,installed,
2,isolated-0002,isolated_2,/home/accnet/ooio-spike/results/isolated-sites/isolated-0002,2026-07-22T14:23:09Z,2026-07-22T14:23:12Z,30,30,241,2418,19735,12,196608,475136,671744,installed,
3,isolated-0003,isolated_3,/home/accnet/ooio-spike/results/isolated-sites/isolated-0003,2026-07-22T14:23:12Z,2026-07-22T14:23:15Z,31,32,237,2426,19735,12,196608,475136,671744,installed,
4,isolated-0004,isolated_4,/home/accnet/ooio-spike/results/isolated-sites/isolated-0004,2026-07-22T14:23:59Z,2026-07-22T14:24:02Z,40,30,250,1964,19735,12,196608,475136,671744,installed,
5,isolated-0005,isolated_5,/home/accnet/ooio-spike/results/isolated-sites/isolated-0005,2026-07-22T14:24:02Z,2026-07-22T14:24:04Z,32,31,250,1938,19735,12,196608,475136,671744,installed,
6,isolated-0006,isolated_6,/home/accnet/ooio-spike/results/isolated-sites/isolated-0006,2026-07-22T14:24:04Z,2026-07-22T14:24:06Z,28,33,271,1959,19735,12,196608,475136,671744,installed,
7,isolated-0007,isolated_7,/home/accnet/ooio-spike/results/isolated-sites/isolated-0007,2026-07-22T14:24:06Z,2026-07-22T14:24:09Z,31,31,255,2037,19735,12,196608,475136,671744,installed,
8,isolated-0008,isolated_8,/home/accnet/ooio-spike/results/isolated-sites/isolated-0008,2026-07-22T14:24:09Z,2026-07-22T14:24:11Z,33,31,246,1978,19735,12,196608,475136,671744,installed,
9,isolated-0009,isolated_9,/home/accnet/ooio-spike/results/isolated-sites/isolated-0009,2026-07-22T14:24:11Z,2026-07-22T14:24:13Z,26,31,238,1949,19735,12,196608,475136,671744,installed,
10,isolated-0010,isolated_10,/home/accnet/ooio-spike/results/isolated-sites/isolated-0010,2026-07-22T14:24:13Z,2026-07-22T14:24:16Z,30,34,261,1972,19736,12,196608,475136,671744,installed,
11,isolated-0011,isolated_11,/home/accnet/ooio-spike/results/isolated-sites/isolated-0011,2026-07-22T14:24:16Z,2026-07-22T14:24:18Z,27,31,244,1921,19736,12,196608,475136,671744,installed,
12,isolated-0012,isolated_12,/home/accnet/ooio-spike/results/isolated-sites/isolated-0012,2026-07-22T14:24:18Z,2026-07-22T14:24:20Z,33,31,252,1971,19736,12,196608,475136,671744,installed,
13,isolated-0013,isolated_13,/home/accnet/ooio-spike/results/isolated-sites/isolated-0013,2026-07-22T14:24:20Z,2026-07-22T14:24:23Z,29,30,263,1880,19736,12,196608,475136,671744,installed,
14,isolated-0014,isolated_14,/home/accnet/ooio-spike/results/isolated-sites/isolated-0014,2026-07-22T14:24:23Z,2026-07-22T14:24:25Z,31,34,266,2026,19736,12,196608,475136,671744,installed,
15,isolated-0015,isolated_15,/home/accnet/ooio-spike/results/isolated-sites/isolated-0015,2026-07-22T14:24:25Z,2026-07-22T14:24:27Z,31,30,245,1972,19736,12,196608,475136,671744,installed,
16,isolated-0016,isolated_16,/home/accnet/ooio-spike/results/isolated-sites/isolated-0016,2026-07-22T14:24:27Z,2026-07-22T14:24:30Z,28,31,251,2209,19736,12,196608,475136,671744,installed,
17,isolated-0017,isolated_17,/home/accnet/ooio-spike/results/isolated-sites/isolated-0017,2026-07-22T14:24:30Z,2026-07-22T14:24:33Z,31,31,257,2488,19736,12,196608,475136,671744,installed,
18,isolated-0018,isolated_18,/home/accnet/ooio-spike/results/isolated-sites/isolated-0018,2026-07-22T14:24:33Z,2026-07-22T14:24:36Z,40,32,258,2414,19736,12,196608,475136,671744,installed,
19,isolated-0019,isolated_19,/home/accnet/ooio-spike/results/isolated-sites/isolated-0019,2026-07-22T14:24:36Z,2026-07-22T14:24:39Z,35,33,253,2520,19736,12,196608,475136,671744,installed,
20,isolated-0020,isolated_20,/home/accnet/ooio-spike/results/isolated-sites/isolated-0020,2026-07-22T14:24:39Z,2026-07-22T14:24:42Z,37,34,244,2439,19736,12,196608,475136,671744,installed,
21,isolated-0021,isolated_21,/home/accnet/ooio-spike/results/isolated-sites/isolated-0021,2026-07-22T14:24:42Z,2026-07-22T14:24:44Z,32,35,255,2197,19736,12,196608,475136,671744,installed,
22,isolated-0022,isolated_22,/home/accnet/ooio-spike/results/isolated-sites/isolated-0022,2026-07-22T14:24:44Z,2026-07-22T14:24:46Z,33,33,249,1970,19736,12,196608,475136,671744,installed,
23,isolated-0023,isolated_23,/home/accnet/ooio-spike/results/isolated-sites/isolated-0023,2026-07-22T14:24:46Z,2026-07-22T14:24:49Z,32,32,256,1998,19736,12,196608,475136,671744,installed,
24,isolated-0024,isolated_24,/home/accnet/ooio-spike/results/isolated-sites/isolated-0024,2026-07-22T14:24:49Z,2026-07-22T14:24:51Z,33,31,261,1960,19736,12,196608,475136,671744,installed,
25,isolated-0025,isolated_25,/home/accnet/ooio-spike/results/isolated-sites/isolated-0025,2026-07-22T14:24:51Z,2026-07-22T14:24:54Z,30,31,254,2377,19736,12,196608,475136,671744,installed,
26,isolated-0026,isolated_26,/home/accnet/ooio-spike/results/isolated-sites/isolated-0026,2026-07-22T14:24:54Z,2026-07-22T14:24:57Z,37,34,257,2349,19736,12,196608,475136,671744,installed,
27,isolated-0027,isolated_27,/home/accnet/ooio-spike/results/isolated-sites/isolated-0027,2026-07-22T14:24:57Z,2026-07-22T14:25:00Z,31,31,246,2536,19736,12,196608,475136,671744,installed,
28,isolated-0028,isolated_28,/home/accnet/ooio-spike/results/isolated-sites/isolated-0028,2026-07-22T14:25:00Z,2026-07-22T14:25:03Z,35,34,247,2458,19736,12,196608,475136,671744,installed,
29,isolated-0029,isolated_29,/home/accnet/ooio-spike/results/isolated-sites/isolated-0029,2026-07-22T14:25:03Z,2026-07-22T14:25:05Z,35,33,271,2168,19736,12,196608,475136,671744,installed,
30,isolated-0030,isolated_30,/home/accnet/ooio-spike/results/isolated-sites/isolated-0030,2026-07-22T14:25:05Z,2026-07-22T14:25:07Z,30,30,254,1897,19736,12,196608,475136,671744,installed,
31,isolated-0031,isolated_31,/home/accnet/ooio-spike/results/isolated-sites/isolated-0031,2026-07-22T14:25:07Z,2026-07-22T14:25:10Z,30,29,233,2054,19736,12,196608,475136,671744,installed,
32,isolated-0032,isolated_32,/home/accnet/ooio-spike/results/isolated-sites/isolated-0032,2026-07-22T14:25:10Z,2026-07-22T14:25:12Z,33,31,239,2008,19736,12,196608,475136,671744,installed,
33,isolated-0033,isolated_33,/home/accnet/ooio-spike/results/isolated-sites/isolated-0033,2026-07-22T14:25:12Z,2026-07-22T14:25:14Z,31,31,253,1926,19736,12,196608,475136,671744,installed,
34,isolated-0034,isolated_34,/home/accnet/ooio-spike/results/isolated-sites/isolated-0034,2026-07-22T14:25:14Z,2026-07-22T14:25:17Z,31,31,267,1950,19736,12,196608,475136,671744,installed,
35,isolated-0035,isolated_35,/home/accnet/ooio-spike/results/isolated-sites/isolated-0035,2026-07-22T14:25:17Z,2026-07-22T14:25:19Z,29,34,237,1946,19736,12,196608,475136,671744,installed,
36,isolated-0036,isolated_36,/home/accnet/ooio-spike/results/isolated-sites/isolated-0036,2026-07-22T14:25:19Z,2026-07-22T14:25:21Z,32,32,260,1943,19736,12,196608,475136,671744,installed,
37,isolated-0037,isolated_37,/home/accnet/ooio-spike/results/isolated-sites/isolated-0037,2026-07-22T14:25:21Z,2026-07-22T14:25:24Z,31,33,249,1931,19736,12,196608,475136,671744,installed,
38,isolated-0038,isolated_38,/home/accnet/ooio-spike/results/isolated-sites/isolated-0038,2026-07-22T14:25:24Z,2026-07-22T14:25:26Z,32,32,242,1944,19736,12,196608,475136,671744,installed,
39,isolated-0039,isolated_39,/home/accnet/ooio-spike/results/isolated-sites/isolated-0039,2026-07-22T14:25:26Z,2026-07-22T14:25:28Z,30,31,247,1964,19736,12,196608,475136,671744,installed,
40,isolated-0040,isolated_40,/home/accnet/ooio-spike/results/isolated-sites/isolated-0040,2026-07-22T14:25:28Z,2026-07-22T14:25:31Z,32,33,243,1963,19736,12,196608,475136,671744,installed,
41,isolated-0041,isolated_41,/home/accnet/ooio-spike/results/isolated-sites/isolated-0041,2026-07-22T14:25:31Z,2026-07-22T14:25:33Z,34,34,238,1980,19736,12,196608,475136,671744,installed,
42,isolated-0042,isolated_42,/home/accnet/ooio-spike/results/isolated-sites/isolated-0042,2026-07-22T14:25:33Z,2026-07-22T14:25:35Z,33,33,241,1958,19736,12,196608,475136,671744,installed,
43,isolated-0043,isolated_43,/home/accnet/ooio-spike/results/isolated-sites/isolated-0043,2026-07-22T14:25:35Z,2026-07-22T14:25:38Z,31,31,245,1928,19736,12,196608,475136,671744,installed,
44,isolated-0044,isolated_44,/home/accnet/ooio-spike/results/isolated-sites/isolated-0044,2026-07-22T14:25:38Z,2026-07-22T14:25:40Z,33,32,252,1989,19736,12,196608,475136,671744,installed,
45,isolated-0045,isolated_45,/home/accnet/ooio-spike/results/isolated-sites/isolated-0045,2026-07-22T14:25:40Z,2026-07-22T14:25:43Z,31,34,249,2308,19736,12,196608,475136,671744,installed,
46,isolated-0046,isolated_46,/home/accnet/ooio-spike/results/isolated-sites/isolated-0046,2026-07-22T14:25:43Z,2026-07-22T14:25:46Z,29,32,242,2458,19736,12,196608,475136,671744,installed,
47,isolated-0047,isolated_47,/home/accnet/ooio-spike/results/isolated-sites/isolated-0047,2026-07-22T14:25:46Z,2026-07-22T14:25:48Z,38,33,246,2368,19736,12,196608,475136,671744,installed,
48,isolated-0048,isolated_48,/home/accnet/ooio-spike/results/isolated-sites/isolated-0048,2026-07-22T14:25:48Z,2026-07-22T14:25:51Z,44,31,241,2419,19736,12,196608,475136,671744,installed,
49,isolated-0049,isolated_49,/home/accnet/ooio-spike/results/isolated-sites/isolated-0049,2026-07-22T14:25:51Z,2026-07-22T14:25:54Z,31,33,246,2401,19736,12,196608,475136,671744,installed,
50,isolated-0050,isolated_50,/home/accnet/ooio-spike/results/isolated-sites/isolated-0050,2026-07-22T14:25:54Z,2026-07-22T14:25:56Z,39,32,236,2019,19736,12,196608,475136,671744,installed,
51,isolated-0051,isolated_51,/home/accnet/ooio-spike/results/isolated-sites/isolated-0051,2026-07-22T14:25:56Z,2026-07-22T14:25:59Z,33,32,238,1953,19736,12,196608,475136,671744,installed,
52,isolated-0052,isolated_52,/home/accnet/ooio-spike/results/isolated-sites/isolated-0052,2026-07-22T14:25:59Z,2026-07-22T14:26:01Z,28,31,255,1946,19736,12,196608,475136,671744,installed,
53,isolated-0053,isolated_53,/home/accnet/ooio-spike/results/isolated-sites/isolated-0053,2026-07-22T14:26:01Z,2026-07-22T14:26:03Z,33,29,248,1985,19736,12,196608,475136,671744,installed,
54,isolated-0054,isolated_54,/home/accnet/ooio-spike/results/isolated-sites/isolated-0054,2026-07-22T14:26:03Z,2026-07-22T14:26:06Z,30,31,230,1819,19736,12,196608,475136,671744,installed,
55,isolated-0055,isolated_55,/home/accnet/ooio-spike/results/isolated-sites/isolated-0055,2026-07-22T14:26:06Z,2026-07-22T14:26:08Z,35,30,243,1955,19736,12,196608,475136,671744,installed,
56,isolated-0056,isolated_56,/home/accnet/ooio-spike/results/isolated-sites/isolated-0056,2026-07-22T14:26:08Z,2026-07-22T14:26:10Z,30,31,246,1953,19736,12,196608,475136,671744,installed,
57,isolated-0057,isolated_57,/home/accnet/ooio-spike/results/isolated-sites/isolated-0057,2026-07-22T14:26:10Z,2026-07-22T14:26:13Z,31,33,241,1885,19736,12,196608,475136,671744,installed,
58,isolated-0058,isolated_58,/home/accnet/ooio-spike/results/isolated-sites/isolated-0058,2026-07-22T14:26:13Z,2026-07-22T14:26:15Z,29,31,248,1970,19736,12,196608,475136,671744,installed,
59,isolated-0059,isolated_59,/home/accnet/ooio-spike/results/isolated-sites/isolated-0059,2026-07-22T14:26:15Z,2026-07-22T14:26:17Z,27,32,250,1963,19736,12,196608,475136,671744,installed,
60,isolated-0060,isolated_60,/home/accnet/ooio-spike/results/isolated-sites/isolated-0060,2026-07-22T14:26:17Z,2026-07-22T14:26:20Z,33,34,256,2152,19736,12,196608,475136,671744,installed,
61,isolated-0061,isolated_61,/home/accnet/ooio-spike/results/isolated-sites/isolated-0061,2026-07-22T14:26:20Z,2026-07-22T14:26:23Z,30,32,249,2387,19736,12,196608,475136,671744,installed,
62,isolated-0062,isolated_62,/home/accnet/ooio-spike/results/isolated-sites/isolated-0062,2026-07-22T14:26:23Z,2026-07-22T14:26:25Z,35,33,255,2339,19736,12,196608,475136,671744,installed,
63,isolated-0063,isolated_63,/home/accnet/ooio-spike/results/isolated-sites/isolated-0063,2026-07-22T14:26:25Z,2026-07-22T14:26:28Z,29,31,252,2451,19736,12,196608,475136,671744,installed,
64,isolated-0064,isolated_64,/home/accnet/ooio-spike/results/isolated-sites/isolated-0064,2026-07-22T14:26:28Z,2026-07-22T14:26:31Z,39,32,245,2267,19736,12,196608,475136,671744,installed,
