n,slug,store_id,operation_id,create_ms,provision_ms,total_ms,status
1,scale-1,cmrvtm4600012cab4mjhnevmh,cmrvtm46j0019cab40oxoj2vp,57,2036,2131,succeeded
2,scale-2,cmrvtm5t7001icab4ao9f4lzd,cmrvtm5to001pcab4o0zv9f2d,52,6075,6163,succeeded
3,scale-3,cmrvtmake001ycab4kn8yq3pp,cmrvtmakp0025cab4322bruhx,43,6076,6158,succeeded
4,scale-4,cmrvtmor8002ecab4p5wxpqa5,cmrvtmorm002lcab4hgw3osq7,52,4055,4145,succeeded
5,scale-5,cmrvtmrye002ucab42r960n7o,cmrvtmryr0031cab4bcmoln2s,45,6078,6196,succeeded
6,scale-6,cmrvtmwr4003acab4nbw2z4fk,cmrvtmwrn003hcab4v2mrdb5m,70,6081,6191,succeeded
7,scale-7,cmrvtn1io003qcab466qr5fps,cmrvtn1j3003xcab42qmxrgrd,48,6071,6159,succeeded
8,scale-8,cmrvtn69r0046cab4b1n2s7qb,cmrvtn6a4004dcab4m3imxei0,47,6074,6158,succeeded
9,scale-9,cmrvtnb0z004mcab43y0kk8uq,cmrvtnb1d004tcab468qoe87x,50,6081,6169,succeeded
10,scale-10,cmrvtnfse0052cab4hg9elo65,cmrvtnfsu0059cab4mffp2h31,50,6074,6162,succeeded
11,scale-11,cmrvtnkjk005icab4j1mrq1il,cmrvtnkk0005pcab494w2ky8n,47,6074,6166,succeeded
12,scale-12,cmrvtnpay005ycab46dnauw9u,cmrvtnpbc0065cab4c3p30p35,47,6076,6161,succeeded
13,scale-13,cmrvtnu23006ecab48dp1icr4,cmrvtnu2f006lcab4loq8lx66,42,6074,6155,succeeded
14,scale-14,cmrvtnyt8006ucab40n07m1vf,cmrvtnytj0071cab49qig0yfq,45,6080,6164,succeeded
15,scale-15,cmrvto3kj007acab45pxihyxi,cmrvto3ku007hcab4ypfyjdmw,45,6074,6157,succeeded
16,scale-16,cmrvto8bq007qcab47rawor5p,cmrvto8c3007xcab4y76z6k0r,49,6073,6158,succeeded
17,scale-17,cmrvtod2r0086cab4rnbsrbvp,cmrvtod32008dcab44t2j4bv9,41,6075,6155,succeeded
18,scale-18,cmrvtohtt008mcab4s8ju7d4f,cmrvtohu4008tcab4resa0vd5,45,6072,6155,succeeded
