operation,topology,method,item_number,source_id,target_id,started_at_utc,finished_at_utc,elapsed_ms,cpu_user_s,cpu_system_s,cpu_total_s,files_created,files_deleted,storage_before_bytes,storage_after_bytes,storage_reclaimed_bytes,table_count_before,table_count_after,iops,status,error_stage,notes
"clone","isolated","dump_restore","1","isolated_2","isolated_94","2026-07-22T14:38:09Z","2026-07-22T14:38:10Z","1099","0.063","0.030","0.093000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","isolated","dump_restore","1","isolated_2","isolated_93","2026-07-22T14:38:32Z","2026-07-22T14:38:34Z","1476","0.046","0.043","0.089000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","isolated","dump_restore","1","isolated_2","isolated_92","2026-07-22T14:39:28Z","2026-07-22T14:39:29Z","1080","0.046","0.044","0.090000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","isolated","dump_restore","1","isolated_2","isolated_91","2026-07-22T14:39:45Z","2026-07-22T14:39:47Z","1487","0.045","0.042","0.087000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","isolated","dump_restore","1","isolated_2","isolated_90","2026-07-22T14:40:39Z","2026-07-22T14:40:40Z","1157","0.047","0.046","0.093000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","isolated","dump_restore","1","isolated_2","isolated_89","2026-07-22T14:47:17Z","2026-07-22T14:47:18Z","1334","0.049","0.042","0.091000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","isolated","dump_restore","1","isolated_2","isolated_88","2026-07-22T14:48:59Z","2026-07-22T14:49:01Z","1114","0.046","0.042","0.088000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","isolated","dump_restore","1","isolated_2","isolated_87","2026-07-22T14:49:20Z","2026-07-22T14:49:22Z","1143","0.052","0.037","0.089000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","isolated","dump_restore","1","isolated_2","isolated_86","2026-07-22T14:50:44Z","2026-07-22T14:50:45Z","1451","0.051","0.032","0.083000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","multisite","copy_tables + wp_blogs + capabilities + search_replace","1","2","75","2026-07-22T14:50:46Z","2026-07-22T14:50:48Z","1581","0.656","0.154","0.810000","0","0","32456704","32784384","327680","568","575","not_measured","failed","copy_rewrite","Multisite clone copies every wp_<source>_* table and rewrites the target URL."
"clone","isolated","dump_restore","1","isolated_2","isolated_85","2026-07-22T14:51:08Z","2026-07-22T14:51:09Z","1166","0.056","0.032","0.088000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","multisite","copy_tables + wp_blogs + capabilities + search_replace","1","2","74","2026-07-22T14:51:10Z","2026-07-22T14:51:12Z","1517","0.636","0.205","0.841000","0","0","32784384","33112064","327680","575","582","not_measured","failed","copy_rewrite","Multisite clone copies every wp_<source>_* table and rewrites the target URL."
"clone","isolated","dump_restore","1","isolated_2","isolated_84","2026-07-22T14:52:08Z","2026-07-22T14:52:09Z","1136","0.080","0.014","0.094000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","multisite","copy_tables + wp_blogs + capabilities + search_replace","1","2","73","2026-07-22T14:52:10Z","2026-07-22T14:52:11Z","1636","0.627","0.189","0.816000","0","0","33112064","33669120","557056","582","592","not_measured","failed","copy_rewrite","Multisite clone copies every wp_<source>_* table and rewrites the target URL."
"clone","isolated","dump_restore","1","isolated_2","isolated_83","2026-07-22T14:52:32Z","2026-07-22T14:52:33Z","1431","0.059","0.031","0.090000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","multisite","copy_tables + wp_blogs + capabilities + search_replace","1","2","72","2026-07-22T14:52:34Z","2026-07-22T14:52:36Z","1808","0.598","0.211","0.809000","0","0","33669120","34242560","573440","592","602","not_measured","failed","copy_rewrite","Multisite clone copies every wp_<source>_* table and rewrites the target URL."
"clone","isolated","dump_restore","1","isolated_2","isolated_82","2026-07-22T14:53:31Z","2026-07-22T14:53:33Z","1395","0.059","0.033","0.092000","0","0","671744","671744","0","12","12","not_measured","pass","","Isolated clone is a database dump/restore; filesystem distribution is measured separately."
"clone","multisite","copy_tables + wp_blogs + capabilities + search_replace","1","2","71","2026-07-22T14:53:34Z","2026-07-22T14:53:36Z","1856","0.605","0.203","0.808000","0","0","34242560","34799616","557056","602","612","not_measured","pass","","Multisite clone copies every wp_<source>_* table and rewrites the target URL."
